pol, de
ab,od
Abend,wieczór
acht,osiem
alle,wszyscy; wszystko
und,i
sein,być
in,w
ein,jeden (z)
zu,do; na (przysłówek) za; zbyt
haben,mieć
ich,ja
werden,stać się; stawać się
sie,ona; jej / oni; one + forma grzecznościowa
von,od; z
nicht,nie (przysłówek)
mit,z (przyimek)
es,to
sich,siebie; sobie; się
auch,też; również
auf,na; w (przyimek)
für,dla (przyimek)
an,przy; na ( am - o godzinie; we wtorek)
er,on
so,więc; tak więc; taki; takowy
dass,że; żeby
können,móc; być w stanie
dies,ten; to
als,jak; kiedy / niż
ihr,wy; jej; ich
ja,tak
wie?,jak?
bei,przy; koło; u
oder,lub (spójnik) (o...)
wir,my
aber,ale (spójnik)
dann,potem; następnie
man,zaimek bezosobowy
da,tam; tu; tutaj (obecność)
sein,jego
noch,jeszcze; wciąż
nach,po (czas); w kierunku
was?,co?
also,a więc; zatem
aus,z (pomieszczenia) (przyczyny)
all,wszystek; cały
wenn,jeśli; kiedy (spójnik)
nur,tylko
müssen,musieć
sagen,mówić
um,około; o (czas)
machen,robić; tworzyć
kein,nie (przeczenie) [rzecz]
das Jahr,rok
du,Ty
mein,mój
schon,już
vor,przed; temu (czas)
durch,przez
geben,dawać
mehr,więcej
über,ponad; podczas
andere,drugi; innego; inne
viel,dużo; wiele
kommen,przychodzić; pochodzić
jetzt,teraz
sollen,powienien
mir,to/for mnie
wollen,chcieć
ganz,cały; całkowity; zupełnie
mich,mnie
immer,zawsze
gehen,iść
sehr,bardzo
hier,tutaj
doch,jednak; ale (d...)
bis,[aż] do (czas)
groß,duży; wysoki (g....)
wieder,znowu; znów
das Mal,raz [rzeczownik]
zwei,dwa
gut,dobrze; dobry
wissen,wiedzieć
neu,nowy
sehen,widzieć
lassen,zostawiać
uns,nas
weil,ponieważ; skoro (w....)
unter,pod; poniżej
denn,bo; ponieważ
stehen,stać
jede,każdy(-e; -y)
das Beispiel,przykład
die Zeit,czas
erste,pierwsza(-y; -e)
ihm,jemu; mu; niego
ihn,jego; go; niego
wo?,gdzie?
lang,długi; długa
lange,przez długi czas
eigentlich,prawdziwy; właściwy; rzeczywisty (e...
damit,z [tym]; tym samym; po to by
selbst,samemu; sami
selber,sam
unser,nasz; nas; nasza
oben,na górze; wyżej
wenig,mało; kilka
die Frau,kobieta; żona; pani
der Mensch,człowiek
deutsch,niemiecki (przymiotnik)
das Deutsch,język niemiecki
das Kind,dziecko
etwas,coś; trochę
der Tag,dzień
nun,już (n..)
finden,znaleźć
nichts,nic (zaimek)
bleiben,zostawać; pozostawiać
sondern,lecz (w przeciwieństwie)
klein,mały; niski
zwischen,pomiędzy
alt,stary (przymiotnik)
gegen,przeciw[ko] (zaimek)
liegen,leżeć
ohne,bez (o..)
heute,dziś
weit,szeroko; daleko
heißen,nazywać się
denken,myśleć
eben,równy; równo (e..)
erst,najpierw; dopiero (przysłówek)
natürlich,naturalny; rzeczywisty
ob,czy (spójnik)
hoch,wysoki
beide,oboje
der Mann,mężczyzna; pan; człowiek
einfach,prosty; pojedynczy
vielleicht,[być] może; około
dort,tam (d...)
dabei,przy tym; w pobliżu
einmal,jeden raz
ihnen,im; pani; panu; państwu
welche,które; który; która?
nehmen,brać; wziąć
tun,czynić; robić
seit,od (s...)
seit wann,od kiedy
dürfen,móc; mieć pozwolenie
glauben,wierzyć w coś komuś
Ich glaube,sądzę
halten,trzymać; zatrzymać
nennen,nazywać kogoś
das Land,kraj; ziemia; kraina
letzte,ostatni; na koniec
gleich,równy; taki sam; jednakowy / zaraz
solch,taki; taka; takie
dazu,do tego; nadto; prócz tego
mögen,lubić
die Frage,pytanie
gar,gotowy
gar nichts,zupełnie nic
zeigen,pokazywać coś komuś
führen,prowadzić
möglich,możliwe; możliwy
sprechen,mówić
während,podczas (przyimek) [podczas] kiedy (spójnik)
das Haus,dom
der Fall,upadek; przypadek
eigen,własny; swój; osobny
bringen,przynosić
die Leute,ludzie
schön,piękny; ładny
einige,kilka; trochę
bereits,już (b......)
die Arbeit,praca
leben,żyć
fahren,jechać
meinen,myśleć; uważać
spät,późny
etwa,o (pogadać o czymś); około; przykładowo
wer,kto; ktokolwiek
das Prozent,procent
fragen,pytać
gerade,prosto / właśnie; dopiero co
wichtig,ważny
